number,title,author
34204,La petite Fadette,George Sand
5095,20000 Lieues sous les mers — Part 1,Jules Verne
24850,Lourdes,Émile Zola
41054,Cours familier de Littérature - Volume 07,Alphonse de Lamartine
63794,La comédie de celui qui épousa une femme muette,Anatole France
12367,"Le péché de Monsieur Antoine, Tome 1",George Sand
799,De la terre à la lune: trajet direct en 97 heures 20 minutes,Jules Verne
40172,"Le Rhin, Tome III",Victor Hugo
11175,L'inutile beauté,Guy de Maupassant
8186,"Actes et Paroles, Volume 1",Victor Hugo
13671,Horace,George Sand
17225,La comtesse de Rudolstadt,George Sand
51266,Œuvres complètes de Guy de Maupassant - volume 06,Guy de Maupassant
8175,"Kéraban-Le-Têtu, Volume II",Jules Verne
11589,Le Docteur Ox,Jules Verne
50144,Œuvres complètes de Guy de Maupassant - volume 05,Guy de Maupassant
4548,Cinq Semaines En Ballon,Jules Verne
13016,Lavinia,George Sand
55869,Les grands navigateurs du XVIIIe siècle,Jules Verne
8712,La Conquête de Plassans,Émile Zola
19345,La vie littéraire. Troisième série,Anatole France
17489,Les misérables Tome I: Fantine,Victor Hugo
18200,"Le Collier de la Reine, Tome II",Alexandre Dumas
18697,Le capitaine Pamphile,Alexandre Dumas
18003,La femme au collier de velours,Alexandre Dumas
63768,Post-scriptum de ma vie,Victor Hugo
29549,Le Roi s'amuse,Victor Hugo
41251,Cours familier de Littérature - Volume 14,Alphonse de Lamartine
11714,Contes de la Becasse,Guy de Maupassant
4717,Autour de la Lune,Jules Verne
64145,Pastiches et mélanges,Marcel Proust
8946,Le Côté de Guermantes - Première partie,Marcel Proust
6470,Le Ventre de Paris,Émile Zola
19344,La vie littéraire. Deuxième série,Anatole France
56622,Correspondance: Les lettres et les arts,Émile Zola
14038,"La Daniella, Vol. II.",George Sand
37075,Cours familier de Littérature - Volume 08,Alphonse de Lamartine
8174,"Kéraban-Le-Têtu, Volume I",Jules Verne
15574,Le capitaine Paul,Alexandre Dumas
18402,"La San-Felice, Tome 03",Alexandre Dumas
13198,Nouvelles lettres d'un voyageur,George Sand
13950,"Le vicomte de Bragelonne, Tome IV.",Alexandre Dumas
32640,Histoire du véritable Gribouille,George Sand
20143,La vie littéraire. Quatrième série,Anatole France
30587,La Femme de Paul,Guy de Maupassant
18321,Acté,Alexandre Dumas
8454,"Actes et Paroles, Volume 3",Victor Hugo
49773,"OEuvres complètes de Gustave Flaubert, tome 3: L'éducation sentimentale, v. 1",Gustave Flaubert
18773,"La San-Felice, Tome 05",Alexandre Dumas
8692,Le Capitaine Aréna — Tome 2,Alexandre Dumas
2999,A l'ombre des jeunes filles en fleurs — Deuxième partie,Marcel Proust
8453,"Actes et Paroles, Volume 2: Pendant l'exil 1852-1870",Victor Hugo
65111,Oeuvres de jeunesse inédites. II: 1839-1842. Oeuvres diverses.—Novembre.,Gustave Flaubert
13303,Kourroglou,George Sand
45119,Œuvres complètes de Guy de Maupassant - volume 01,Guy de Maupassant
15235,"Oeuvres illustrées de George Sand
Les visions de la nuit dans les campagnes - La vallée noire - Une visite aux catacombes",George Sand
15203,"Un billet de loterie
(Le numéro 9672)",Jules Verne
6558,La faute de l'abbé Mouret,Émile Zola
53247,Œuvres complètes de Guy de Maupassant - volume 09,Guy de Maupassant
17553,La Curée,Émile Zola
17795,La dernière Aldini: Simon,George Sand
34528,Rome,Émile Zola
36812,"Création et rédemption, première partie: Le docteur mystérieux",Alexandre Dumas
57019,"Mémoires de Garibaldi, tome 1/2",Alexandre Dumas
70260,"Œuvres complètes de Gustave Flaubert, tome 8",Gustave Flaubert
8693,Le Capitaine Aréna — Tome 1,Alexandre Dumas
2998,A l'ombre des jeunes filles en fleurs - Première partie,Marcel Proust
26614,Le secrétaire intime,George Sand
62100,Un amour de Swann,Marcel Proust
5711,Germinal,Émile Zola
5147,Le Jardin d'Epicure,Anatole France
17992,"Le comte de Monte-Cristo, Tome IV",Alexandre Dumas
58299,Evenor et Leucippe: Les amours de l'Âge d'Or; Légende antidéluvienne,George Sand
10982,La tentation de Saint Antoine,Gustave Flaubert
13951,Les trois mousquetaires,Alexandre Dumas
8490,"Actes et Paroles, Volume 4: Depuis l'Exil 1876-1885",Victor Hugo
9976,Hernani,Victor Hugo
67074,Œuvres complètes de Guy de Maupassant - volume 17,Guy de Maupassant
45312,Œuvres complètes de Guy de Maupassant - volume 02,Guy de Maupassant
10746,Boule de Suif,Guy de Maupassant
12011,"Monsieur Parent, et autres histoires courtes",Guy de Maupassant
41322,"Histoire de ma Vie, Livre 2 (Vol. 5 - 9)",George Sand
55517,Correspondance: Lettres de jeunesse,Émile Zola
58698,Les plaisirs et les jours,Marcel Proust
26812,Un coeur simple,Gustave Flaubert
12837,Cora,George Sand
37989,Lettres d'un voyageur,George Sand
11645,La rôtisserie de la Reine Pédauque,Anatole France
13744,Isidora,George Sand
45753,Tamaris,George Sand
54873,Vingt mille lieues sous les mers,Jules Verne
11484,Le pilote du Danube,Jules Verne
3000,A l'ombre des jeunes filles en fleurs — Troisième partie,Marcel Proust
13743,Le Côté de Guermantes - Troisième partie,Marcel Proust
46541,Le Tour du monde en quatre-vingts jours,Jules Verne
18199,"Le Collier de la Reine, Tome I",Alexandre Dumas
56523,Œuvres complètes de Guy de Maupassant - volume 12,Guy de Maupassant
7462,Contes à Ninon,Émile Zola
19248,Opinions sociales,Anatole France
55167,Œuvres complètes de Guy de Maupassant - volume 10,Guy de Maupassant
60610,Œuvres complètes de Guy de Maupassant - volume 15,Guy de Maupassant
5154,La Bête humaine,Émile Zola
15287,Teverino,George Sand
39885,Cours familier de Littérature - Volume 12,Alphonse de Lamartine
14156,Dictionnaire des idées reçues,Gustave Flaubert
68271,Œuvres complètes de Guy de Maupassant - volume 21,Guy de Maupassant
13374,"Consuelo, Tome 3 (1861)",George Sand
62787,Mauprat,George Sand
6377,Thais,Anatole France
13380,Gabriel,George Sand
15226,"Nanon
La bibliothèque précieuse",George Sand
14790,Contes du jour et de la nuit,Guy de Maupassant
19249,La vie littéraire. Première série,Anatole France
23582,La Mare au Diable,George Sand
17911,Légendes rustiques,George Sand
56374,Œuvres complètes de Guy de Maupassant - volume 11,Guy de Maupassant
13917,"La Daniella, Vol. I.",George Sand
10160,Pierre Nozière,Anatole France
17345,Histoire comique,Anatole France
57461,Ed. Manet: étude biographique et critique,Émile Zola
12862,Aldo le rimeur,George Sand
16852,Au bonheur des dames,Émile Zola
14157,Bouvard et Pécuchet,Gustave Flaubert
7268,Monsieur Bergeret à Paris: Histoire Contemporaine,Anatole France
15288,Sodome et Gomorrhe - Première partie,Marcel Proust
12865,Mattea,George Sand
55135,P'tit-bonhomme,Jules Verne
58427,"La San-Felice, Tome 07, Emma Lyonna, tome 3",Alexandre Dumas
46387,Œuvres complètes de Guy de Maupassant - volume 03,Guy de Maupassant
17989,"Le comte de Monte-Cristo, Tome I",Alexandre Dumas
39101,"Histoire de ma Vie, Livre 1 (Vol. 1 - 4)",George Sand
57373,"OEuvres complètes de Gustave Flaubert, tome 5: La tentation de saint Antoine",Gustave Flaubert
57525,"OEuvres complètes de Gustave Flaubert, tome 6: Trois contes, suivis de mélanges inédits",Gustave Flaubert
7770,Les Quarante-Cinq — Tome 1,Alexandre Dumas
17457,Une vie,Guy de Maupassant
18271,Georges,Alexandre Dumas
14810,La maison à vapeur: Voyage à travers l'Inde septentrionale,Jules Verne
